Date, Open, High, Low, Close,LN_Return
3/7/24,5132.38,5165.62,5128.21,5157.36,0.010251383
3/6/24,5108.03,5127.97,5092.22,5104.76,0.00512796
3/5/24,5110.52,5114.54,5056.82,5078.65,-0.010245349
3/4/24,5130.99,5149.67,5127.18,5130.95,-0.001193997
3/1/24,5098.51,5140.33,5094.16,5137.08,0.007975925
02/29/24,5085.36,5104.99,5061.89,5096.27,0.00521542
02/28/24,5067.2,5077.37,5058.35,5069.76,-0.00165945
02/27/24,5074.6,5080.69,5057.29,5078.18,0.001704819
02/26/24,5093,5097.66,5068.91,5069.53,-0.003793935
02/23/24,5100.92,5111.06,5081.46,5088.8,0.000347883
02/22/24,5038.83,5094.39,5038.83,5087.03,0.020902892
02/21/24,4963.03,4983.21,4946,4981.8,0.001263394
02/20/24,4989.32,4993.71,4955.02,4975.51,-0.006023414
02/16/24,5031.13,5038.7,4999.52,5005.57,-0.004815012
02/15/24,5003.14,5032.72,4999.44,5029.73,0.0058044
02/14/24,4976.44,5002.52,4956.45,5000.62,0.009534129
02/13/24,4967.94,4971.3,4920.31,4953.17,-0.013768625
2/12/24,5026.83,5048.39,5016.83,5021.84,-0.0009494
2/9/24,5004.17,5030.06,5000.34,5026.61,0.005725976
2/8/24,4995.16,5000.4,4987.09,4997.91,0.000570401
2/7/24,4973.05,4999.89,4969.05,4995.06,0.008207667
2/6/24,4950.16,4957.77,4934.88,4954.23,0.002307762
2/5/24,4957.19,4957.19,4918.09,4942.81,-0.003191464
2/2/24,4916.06,4975.29,4907.99,4958.61,0.010627786
2/1/24,4861.11,4906.97,4853.52,4906.19,0.012416278
01/31/24,4899.19,4906.75,4845.15,4845.65,-0.016236788
01/30/24,4925.89,4931.09,4916.27,4924.97,-0.000600838
01/29/24,4892.95,4929.31,4887.4,4927.93,0.007528374
01/26/24,4888.91,4906.69,4881.47,4890.97,-0.00065201
01/25/24,4886.66,4898.15,4869.34,4894.16,0.005246506
01/24/24,4888.56,4903.68,4865.94,4868.55,0.000811659
01/23/24,4856.8,4866.48,4844.37,4864.6,0.002917132
01/22/24,4853.42,4868.41,4844.05,4850.43,0.002191897
01/19/24,4796.28,4842.07,4785.87,4839.81,0.012238284
01/18/24,4760.1,4785.79,4740.57,4780.94,0.008766725
