Date,Close,TMA,ATR,low_var,high_var,color,Open,High,Low,LN_return
1979-12-24,107.88,99.67933424,0.5774263098784412,0.9992478438261245,0.0007521561738761759,blue,107.88,107.66,107.66,0.002347623821158755
1979-12-26,107.78,99.70640288,0.5535549943845189,0.9988799407848242,0.0011200592151766238,blue,107.78,107.78,107.78,-0.001271553610773384
1979-12-27,107.96,99.73361967999999,0.5348772446652926,0.9977574469433252,0.0022425530566754304,blue,107.96,107.96,107.96,0.0013245077998798541
1979-12-28,107.84,99.7609504,0.5141333824320276,0.9946702930277729,0.005329706972227724,blue,107.84,107.84,107.84,-0.0014563088303849508
1979-12-31,107.94,99.78834448,0.49342671331042587,0.9863139370249675,0.013686062975033067,blue,107.94,107.94,107.94,0.000582702181940666
1980-01-02,105.76,99.8157264,0.5777553776449043,0.9633845754284528,0.03661542457154782,blue,105.76,105.76,105.76,-0.020747308931702253
1980-01-03,105.22,99.84306240000001,0.5758676087626593,0.96918775150064,0.03081224849936076,blue,105.22,105.22,105.22,-0.005463147645324214
1980-01-04,106.52,99.87037695999999,0.6120742283245262,0.9698322818592368,0.030167718140764046,blue,106.52,106.52,106.52,0.011935196798488536
1980-01-07,106.81,99.89766064,0.5959705169083002,0.972274219728472,0.0277257802715289,blue,106.81,106.81,106.81,0.0023746263113132047
1980-01-08,108.95,99.92496192,0.6731719910628852,0.9688973459810284,0.031102654018972407,blue,108.95,108.95,108.95,0.019493338444481853
1980-01-09,109.05,99.95226768,0.6445133915097406,0.9868806392905283,0.0131193607094724,blue,109.05,109.05,109.05,0.0005732634124223975
1980-01-10,109.89,99.979572,0.6542877219342538,0.9933175130257031,0.006682486974297484,blue,109.89,109.89,109.89,0.007329204966580958
1980-01-11,109.92,100.00686512,0.6230733358375412,0.9971172578207599,0.002882742179240915,blue,109.92,109.92,109.92,-7.120482938883913e-05
1980-01-14,110.38,100.03418304,0.6149196690456639,0.9984277095299489,0.0015722904700520802,blue,110.38,110.38,110.38,0.003831961692708051
1980-01-15,111.14,100.06153408,0.6221736855933809,0.9988963476963738,0.0011036523036270884,blue,111.14,111.14,111.14,0.006517541995792271
1980-01-16,111.05,100.08889872000002,0.595565001313712,0.9992254636016108,0.0007745363983900722,blue,111.05,111.05,111.05,-0.0011542853558920642
1980-01-17,110.7,100.11627056,0.5832867512480261,0.9991841409856612,0.0008158590143396813,blue,110.7,110.7,110.7,-0.003500878470441033
1980-01-18,111.07,100.14365296,0.5726224136856243,0.9988507615199868,0.0011492384800140427,blue,111.07,111.07,111.07,0.002992625619841498
